Date,Uncovered,Du,Ru,Exposed,Isolated,Infected,Di,Ri
3/24/2020,39,6,34,546,10,536,14,522
3/25/2020,57,10,48,669,12,657,33,624
3/26/2020,71,13,59,747,20,727,67,660
3/27/2020,83,11,73,907,20,887,109,778
3/28/2020,97,15,83,1011,24,987,144,843
3/29/2020,108,15,94,1051,27,1024,179,845
3/30/2020,117,19,99,1283,32,1251,198,1053
3/31/2020,129,19,111,1432,35,1397,219,1178
04-01-20,148,26,123,2056,58,1998,340,1658
04-02-20,191,34,158,2615,72,2543,448,2095
04-03-20,192,28,165,2639,72,2567,562,2005
04-04-20,229,36,194,3168,86,3082,612,2470
04-05-20,229,37,193,3687,99,3588,703,2885
04-06-20,375,69,307,4914,136,4778,877,3901
04-07-20,421,79,343,5461,150,5311,989,4322
04-08-20,506,90,417,6094,178,5916,1049,4867
04-09-20,621,102,520,6951,226,6725,1102,5623
04-10-20,774,130,645,7844,246,7598,1272,6326
04-11-20,969,155,815,8734,288,8446,1347,7099
04-12-20,1083,163,921,9536,331,9205,1382,7823
4/13/2020,1181,173,1009,10811,358,10453,1528,8925
4/14/2020,1359,204,1156,11880,393,11487,1724,9763
4/15/2020,1432,224,1209,12727,405,12322,1925,10397
4/16/2020,1768,266,1503,13878,448,13430,2019,11411
4/17/2020,2041,306,1736,14838,486,14352,2147,12205
4/18/2020,2463,369,2095,16243,521,15722,2355,13367
4/19/2020,2854,424,2431,18174,559,17615,2614,15001
4/20/2020,3273,467,2807,19131,592,18539,2641,15898
4/21/2020,3975,586,3390,20725,645,20080,2959,17121
4/22/2020,4370,652,3719,22051,681,21370,3184,18186
4/23/2020,5012,750,4263,23798,721,23077,3449,19628
4/24/2020,5498,795,4704,25310,780,24530,3543,20987
4/25/2020,5939,896,5044,27108,825,26283,3964,22319
4/26/2020,6523,957,5567,28771,881,27890,4088,23802
4/27/2020,7137,1067,6071,30390,939,29451,4400,25051
4/28/2020,7747,1044,6704,32332,1008,31324,4221,27103
4/29/2020,8437,1265,7173,34141,1079,33062,4955,28107
4/30/2020,9068,1321,7748,36017,1154,34863,5077,29786
05-01-20,10007,1208,8800,38480,1223,37257,4496,32761
05-02-20,10819,1593,9227,41022,1323,39699,5843,33856
05-03-20,11775,1760,10016,43896,1391,42505,6353,36152
05-04-20,12847,1878,10970,48003,1566,46437,6785,39652
05-05-20,14142,2122,12021,51093,1693,49400,7410,41990
05-06-20,15331,2291,13041,54772,1785,52987,7916,45071
05-07-20,16776,2514,14263,58240,1889,56351,8444,47907
05-08-20,17887,2680,15208,61680,1985,59695,8944,50751
05-09-20,19301,2596,16706,64909,2101,62808,8446,54362
